Time,Temperature
456606,24.02
457010,23.93
457413,23.92
457816,23.92
458219,23.86
458622,23.97
459026,23.93
459429,23.96
459833,23.95
460236,23.92
460640,23.95
461043,23.88
461447,23.87
461850,23.93
462254,23.88
462657,23.88
463059,23.87
463463,23.9
463866,23.88
464270,23.78
464673,23.85
465077,23.88
465480,23.86
465884,23.79
466287,23.82
466691,23.86
467094,23.86
467497,23.79
467901,23.83
468303,23.88
468707,23.86
469110,23.77
469514,23.75
469917,23.82
470321,23.83
470724,23.78
471128,23.74
471531,23.74
471934,23.83
472338,23.86
472741,23.79
473145,23.72
473547,23.73
473951,23.77
474354,23.84
474758,23.8
475161,23.76
475565,23.75
475968,23.71
476371,23.74
476775,23.83
477178,23.8
477582,23.79
477985,23.7
478389,23.68
478791,23.7
479195,23.75
479598,23.79
480002,23.81
480405,23.8
480808,23.72
481212,23.67
481615,23.67
482019,23.73
482422,23.72
482826,23.8
483229,23.79
483632,23.81
484035,23.76
484439,23.69
484842,23.69
485245,23.66
485649,23.62
486052,23.7
486456,23.74
486859,23.77
487263,23.79
487666,23.75
488070,23.71
488473,23.66
488877,23.62
489279,23.64
489682,23.65
490086,23.65
490489,22.88
490893,23.46
491296,23.72
491700,23.73
492103,23.65
492507,23.56
492910,23.59
493314,23.63
493717,23.65
494120,23.69
494523,23.73
494926,23.71
495330,23.68
495733,23.62
496137,23.58
496540,23.57
496944,23.61
497347,23.66
497751,23.71
498154,23.7
498557,23.69
498961,23.67
499364,23.75
499767,23.76
500170,23.76
